"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.4579",5.57178039716983,-0.753218862488541,-0.765416985429447,-0.313616233688197,-0.658029293011534,-0.808620728331762,-0.401215984527854,-0.0921914955801305,-0.330126266213076,-0.162950118602697,-0.250556590010457,-0.0591026778011076,0.83670297217704,-2.11631879838535,-2.85538008084097,-3.7144175810918,-6.44291724309255,-2.66691129698542,-5.08576063337449,6.5796551991437,-4.5759225203884,2.63921416111172,-2.90723263383718,-4.49417874080748,-3.19645065744318e-07
"boot_params.4580",4.7409202276385,-0.797419357803254,-0.563501742114148,0.14544484114074,-0.384111954363454,-0.680561688708889,-0.365661436228163,-0.104467955657018,-0.230975779639565,-0.130827339628908,-0.124575646935094,0.0658363881911852,0.870142227376155,-1.43634061745607,-2.31138881938194,-2.73570555647799,-5.20980192294338,-2.32210387072602,-4.74921223271955,5.12772790470763,-3.9583578171135,2.07237414544897,-2.32393895460209,-3.89791595645478,-2.30571091229292e-07
"boot_params.4581",5.80755888459019,-0.548026728926741,-0.516918013990958,0.150365118613779,-0.363332644180582,-0.421276169461328,-0.320426270596241,0.0183635063917161,0.00405628390167251,0.0957459644827133,0.0116930699158208,0.290371477169391,0.868412272620238,-2.51624057623182,-3.29962768414932,-3.79680387806432,-6.1166487985365,-3.00421619246768,-5.92707232359495,7.49800092926486,-5.00618347872065,2.97093665461564,-3.24358250437418,-5.05264362401093,-3.76085855963566e-07
"boot_params.4582",5.79968962108175,-0.856654474079732,-0.734796684722425,0.136063427379407,-0.519755479126558,-0.520889393090435,-0.409970166615924,-0.277503388947793,-0.0849223311741113,-0.201757732769672,-0.0256146650056736,-0.0114308083899423,0.948293380144497,-2.44441478283468,-3.07021813940779,-3.71411234214814,-6.00203295955073,-2.95613346686624,-5.38604861001326,7.38670884182594,-4.62415487590142,2.95403907693429,-3.08908289659866,-4.89119847342446,-3.60890630543523e-07
"boot_params.4583",3.10322336627251,-0.612158691969733,-0.66639564628204,-0.203675522262801,-0.294256863195588,-0.518025018317582,-0.259539557731169,-0.125563738182288,0.16286162574552,-0.0979559631510233,0.0338980563729613,0.102272544252531,0.694713206358116,-0.679647271990626,-1.08877750434444,-1.32350244069101,-3.56321909399991,-0.839809106040569,-2.87618996875444,2.04858661377056,-2.23483137095175,0.94895391011358,-1.07042750911801,-2.51256294171034,-3.73236078443061e-08
"boot_params.4584",4.74403515157908,-0.751471024339481,-0.598178741010797,-0.245272794607928,-0.519213359199607,-0.776726875172464,-0.617432781252127,-0.523377260667141,-0.165143122397186,-0.191736527011111,-0.267458636192358,-0.147834938892238,0.537936891193836,-1.65141383533825,-2.32120305762197,-2.64420169109325,-5.39380121047294,-2.1804202102053,-4.45713278162997,4.18272894755664,-3.71183242454973,1.67874731609125,-2.29410073714188,-3.34051760738928,-1.8925792020318e-07
"boot_params.4585",2.06687648540368,-0.795941909760111,-0.485269029137506,0.0803627765847267,-0.404032108860002,-0.552147704398725,-0.316268711211028,-0.126268490258678,-0.243528499573867,-0.227609378111689,0.116912552333384,-0.157044680657613,0.723535949445217,0.30703945100981,-0.1044865251882,-0.538297413703594,-2.84362597487444,-0.23967519356738,-2.29423356887717,0.211695956191972,-1.79188379400157,0.257345123661438,-0.0538636533617476,-1.06004847207098,7.32242808583355e-08
"boot_params.4586",4.2776441149767,-0.67798758545156,-1.36459603012921,0.0182485721629975,-0.367021430075117,-0.65946311628209,-0.548274749487127,-0.0964377326120986,-0.045897984469907,-0.229048760428709,0.0645762963879174,0.114140374931296,0.96293349140892,-1.4820348613754,-1.80650344014063,-2.27940183651454,-4.5330383083427,-1.81523560266265,-4.16054110327046,4.37565040543887,-3.51525893055996,1.70189553289231,-1.83694915194819,-3.29103905206733,-1.83938182686024e-07
"boot_params.4587",5.73627156303267,-0.900604770330848,-0.448555362466797,0.30790336241334,-0.390937517467151,-0.40411771383549,-0.273780821882373,-0.110878575384125,0.12801785831953,0.138203471335278,0.110548411494146,0.189796812423138,0.907816321543723,-2.48635388752617,-3.46587062824535,-3.7884509012565,-6.84486903442756,-3.15062931583058,-6.22690113443467,7.12515063075852,-5.44363237878467,2.71301048250034,-3.13675155285625,-5.09563309845189,-3.4920188522795e-07
"boot_params.4588",4.67422997741073,-0.626972733930859,-0.900453738854585,0.00545142105583877,0.0593681414894271,-0.460222159559709,-0.226034610639625,-0.140466805539331,0.025481173874153,-0.0405079369439479,0.125459579506323,0.160243447881529,0.863033273239945,-1.81610532927526,-2.28460143725908,-2.7657645155405,-4.87399384571591,-2.22194980389203,-4.97460770469941,5.20826960510754,-4.01063940508874,2.10202229451557,-2.64765813696882,-3.62976238024172,-2.35072035188491e-07
"boot_params.4589",4.18203234222858,-0.392097843727641,-0.450484634502172,0.236881128607507,-0.0991398602852006,-0.164497378752078,-0.217959942972928,-0.0446340175909219,0.0794170805527946,-0.118938684724631,0.334811875194631,0.211985889889941,0.681121278484032,-1.38917703497419,-2.52053876118234,-2.34842087017451,-4.48554945392854,-1.9076122594771,-3.99190624672388,4.50565764401954,-3.76038912565151,1.71965074669002,-2.17097503768656,-3.5598685429732,-1.90354154185123e-07
"boot_params.4590",4.49396953418756,-0.71609593617889,-0.64408338314885,-0.123043935440997,-0.246687395874861,-0.581288689023881,-0.292518895829079,-0.194569978449141,-0.173463161623927,-0.13688805395964,0.00527575558323397,0.186438563732444,0.930206582398535,-1.53331093971555,-2.37077079753453,-2.57345344083338,-4.53911655802851,-1.90965910650435,-4.74801782449759,4.87636664330224,-3.57024854105442,1.89110959839999,-2.18096048049081,-3.52475606279379,-2.11239552571743e-07
"boot_params.4591",6.21052800593731,-0.726411872907524,-0.406061022067257,0.254019272889802,-0.162896745933853,-0.330912123278081,-0.120746565069225,-0.116460351456202,0.166906619813204,-0.0510942969877647,0.190872168142619,0.196888732318817,0.734021380369774,-3.04950362939227,-3.76169483995538,-4.33936102842505,-6.62110528978268,-3.38894752183152,-6.30007991799141,8.07903914975622,-5.40620380124991,2.92512495831429,-3.52708233598223,-5.53422726941859,-4.13180426829161e-07
"boot_params.4592",5.69315736320287,-0.502684471818249,-0.543913604560809,0.115777107830085,-0.296492255623658,-0.801876893902837,-0.276103455180056,-0.0950931969277993,-0.0174390928786527,0.033803167384037,-0.075966532552199,0.153805163351289,0.718625063442571,-2.51336362913561,-3.55313120862011,-3.70516377101826,-5.57700288423902,-2.96657917825007,-6.00892875052721,6.61997662335181,-4.9176533520128,2.59001011698995,-3.41779904324416,-4.9859671413743,-3.32898271951297e-07
"boot_params.4593",6.58638551102304,-0.776780762830687,-0.497474147255045,0.179493890572665,-0.504283823084401,-0.596270563908578,-0.250742123922155,-0.0773748419275351,0.13212801585834,0.11100670759204,0.200268050020232,0.204923699970279,0.877380406329874,-3.05317289109722,-3.68484950354261,-4.8913459922502,-6.91235162318215,-3.89378393996996,-6.75667565545995,8.85047450555116,-5.77708560158547,3.47340931774277,-3.73336468015469,-5.7690887142402,-4.59241014441734e-07
"boot_params.4594",4.80567720611543,-0.899404445097073,-0.784712756428062,-0.260007105112562,-0.546598605277787,-0.550181563725871,-0.615607520188273,-0.352470973282319,-0.137848938236872,-0.335372844835642,-0.0431995228393039,0.0455693318280759,0.656357648586014,-1.51347696207542,-2.59150990041429,-2.87058469586184,-5.59082285410338,-2.13705275308703,-4.4033573047428,4.57874124818531,-3.55669012336941,1.78055409495126,-2.30077315969952,-3.94183913440767,-2.10946928961652e-07
"boot_params.4595",4.6424570641847,-0.843066452812819,-0.579261335389765,-0.117196666323268,-0.171514070420178,-0.601741830592904,-0.278587234750813,-0.0440631313539088,0.0683655198837711,-0.124057392342911,0.0335892413213551,0.0684026079746408,0.830520542052015,-1.7627843824038,-2.13036414715926,-2.79741911820311,-4.72537332790698,-2.16069084001993,-4.51398538309161,5.17028118782973,-4.03364967606161,2.0245971777338,-2.34725841857077,-3.72693487788434,-2.27648377579161e-07
