"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.3634",2.90574505968933,-0.720328097355259,-0.638853441648064,0.0615157593935368,-0.315032613012013,-0.566345847127104,-0.39007071561684,-0.0869781372149234,-0.0523782390122423,-0.107480041040574,0.00118638426188197,0.0821418516087789,0.644385410271354,-0.394312252808588,-0.897268899373447,-1.22321532966711,-3.30184838596495,-0.766532894353567,-2.92054779823114,1.52190391381057,-2.10865155405185,0.663234492301723,-1.02974873847777,-2.08144527075707,-1.11160575672298e-08
"boot_params.3635",3.49819572280349,-0.70857562148908,-0.601467116595567,0.0600287043531838,-0.305750865950847,-0.526368406829473,-0.368109986270753,-0.0730071866558756,-0.0279055296653364,-0.0757749687012661,0.0161936165665172,0.0958979518658415,0.690892199628482,-0.846472758963432,-1.40557243150437,-1.76361466505797,-3.90930182207988,-1.24820351470083,-3.53891767263591,2.71395976964325,-2.69918178171254,1.1039579061851,-1.49751680036358,-2.69206553031619,-8.40044123258344e-08
"boot_params.3636",3.68902086747809,-0.742411882585862,-0.643683871461188,0.0383377436013777,-0.308392519147884,-0.569691090131168,-0.36470428273686,-0.100090650779233,-0.060766631818137,-0.10253562899577,0.00283609798435215,0.0712981811386842,0.715997565666734,-0.946325356492994,-1.55342725104242,-1.9203409314718,-4.08942933729294,-1.38338395730001,-3.69887219326311,3.07957414502602,-2.87113412541218,1.26353686028976,-1.6071461523961,-2.85628157957907,-1.05715539026402e-07
"boot_params.3637",3.49921293505042,-0.731886503961642,-0.627136470131959,0.0539385838871178,-0.32064308958068,-0.577723897506426,-0.372089151210942,-0.0972028125888353,-0.0586822317701993,-0.106496176888913,-0.00155699903122879,0.097536729002249,0.724253363211854,-0.809204488169623,-1.38463653482366,-1.73879951274968,-3.89474624253935,-1.22942507078717,-3.51314374033759,2.71179812021021,-2.67856089038449,1.12204141308985,-1.46465931888788,-2.65886499508581,-8.36599283546067e-08
"boot_params.3638",2.94428904635135,-0.717962296453713,-0.634923993446101,0.0630377165265911,-0.314860082185438,-0.566783307693509,-0.386667515227298,-0.0814945842337738,-0.048879139707967,-0.103766023802333,0.00359867465757045,0.0839322108291243,0.64701437079921,-0.422624440865634,-0.931542974706563,-1.26043255654962,-3.34513568211666,-0.798903857223318,-2.96020364578262,1.59918022670896,-2.14799103258648,0.689373507301799,-1.06213689498473,-2.12277030893821,-1.58922063500694e-08
"boot_params.3639",3.53742888200211,-0.712190761908777,-0.623918212688443,0.0697507613116666,-0.312330041254962,-0.529461230627061,-0.372290220793234,-0.0745499250127025,-0.0298162829481154,-0.0934088747198945,0.0219136316866128,0.0997950413902165,0.702549664009326,-0.867539861600658,-1.42931403415807,-1.79561034004811,-3.93348550796721,-1.28136080528043,-3.55655121160971,2.79667207357858,-2.73538434875759,1.15023047048053,-1.50520103842186,-2.71778816556467,-8.94371929769678e-08
"boot_params.3640",2.7497602816981,-0.720874944605128,-0.639921203104426,0.0627095174256376,-0.315636430927259,-0.569037881223023,-0.39473370991135,-0.0842629653393771,-0.0545287360129544,-0.110441347197457,-0.00240034099968603,0.0788490582072457,0.631701703635211,-0.277298065687524,-0.76846290585588,-1.08400353374082,-3.14618109025736,-0.642570009897902,-2.76419817410426,1.20814804968971,-1.95757546871391,0.544450462729449,-0.911765218804502,-1.92641811762276,7.97354958274048e-09
"boot_params.3641",2.54594591889774,-0.719839195562918,-0.639799725258272,0.0689968054744401,-0.311137314338849,-0.569067611068243,-0.395740853972861,-0.082554744039223,-0.0543217391051439,-0.11152115616591,-0.00445229098723268,0.0811729874815623,0.618524346160547,-0.128941134138318,-0.598681317926029,-0.900598732774216,-2.94498661198458,-0.48680639222948,-2.55838251569432,0.828458537854638,-1.76136534229922,0.398667244369444,-0.756575693346574,-1.72826006051455,3.17329425229159e-08
"boot_params.3642",3.59695129772133,-0.724867314754285,-0.638645967826504,0.0615059997381046,-0.329946013353022,-0.569447903003504,-0.390065584413035,-0.0978034506070593,-0.042229051071057,-0.094886967293408,-0.00527451144443555,0.0727515571769299,0.715749348123493,-0.886227245923501,-1.48002195361177,-1.82093536336209,-3.98960962920705,-1.30304495561986,-3.60745104014715,2.89059513282416,-2.78422746771895,1.18343633022659,-1.55131262760459,-2.76248612826181,-9.46230981621046e-08
"boot_params.3643",3.59450983112586,-0.702751981123261,-0.636517575726858,0.0732096651645371,-0.301877265750147,-0.550220873366873,-0.353075219878713,-0.0808887966479137,-0.041551077397979,-0.0840907700307846,0.0137717413389824,0.0966088337539903,0.689070426610887,-0.918567206676107,-1.49660788588278,-1.84748466233327,-3.99082383526557,-1.32181134093471,-3.61923073880248,2.88376950968884,-2.78837867609773,1.18002494284784,-1.56294425942836,-2.75665339155807,-9.4984295429086e-08
