"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.2365",5.14765557290675,-0.691434187564455,-0.638960976663252,0.0550800657472273,-0.290652541132877,-0.554235591769305,-0.355628391054758,-0.109227425893943,-0.0401335650287986,-0.0739849494124049,0.0452349159381669,0.103999167279895,0.826532361989793,-2.04826809241567,-2.78712547386055,-3.27511249512602,-5.40358427571772,-2.58483133998841,-5.17001832235564,5.95302260198574,-4.39221801275312,2.34275365720199,-2.78148483146684,-4.78074810961404,-2.82601940573863e-07
"boot_params.2366",4.95876276785939,-0.708831662241668,-0.634574175796219,0.0121525006407947,-0.334972113453647,-0.602363912524029,-0.365694962542653,-0.142634101025252,-0.0242062457589314,-0.0805210114817315,0.022892375498613,0.0987028736706428,0.838956993296705,-1.89147286788522,-2.62422258632532,-3.11076649910619,-5.54003439899656,-2.38695310180452,-5.48104152162658,5.64915934159707,-4.10569542528961,2.2445696386661,-2.57744251190738,-4.30300872290661,-2.61752867952202e-07
"boot_params.2367",5.2167184381987,-0.660919810891457,-0.60512667792522,0.0230049877322215,-0.339517104252626,-0.624367298087081,-0.350021686392442,-0.145162909939442,-0.0404164745484397,-0.080228096891203,0.0211623601673968,0.0761276112180537,0.895670856186015,-2.07316465213962,-2.8121591826791,-3.14547726727187,-5.15946827916284,-2.64602751613878,-5.43571781679572,6.22621666174119,-4.38031270218144,2.45839622674311,-2.73386932903699,-4.34472495457383,-2.95376521727627e-07
"boot_params.2368",5.11067776056158,-0.682876445456159,-0.619044558864459,0.0449730789805823,-0.325232111425842,-0.53939705591374,-0.346793099873873,-0.104487163275193,-0.0402067763413505,-0.0776573357967199,0.046474920726662,0.123479637860571,0.835041889279833,-2.02351511312656,-2.7969847571995,-3.19669258461737,-5.35331303167977,-2.56428228106299,-5.38379387272506,5.92284471068648,-4.49835150008605,2.33416461677523,-2.69690131351475,-4.43295677607036,-2.79840112029906e-07
"boot_params.2369",4.87938470961711,-0.741534808328587,-0.721870020582353,0.0526126738276326,-0.359582588789883,-0.611059391832807,-0.38985287618448,-0.0978077736037923,-0.0627124201235497,-0.0894283203894712,0.0443051246242273,0.0688923636550234,0.831684195312881,-1.85072853437183,-2.55487964593481,-2.95414430986007,-4.96524398658966,-2.36092061950046,-4.74016542495184,5.43574952170325,-4.05257486702756,2.13990216019901,-2.57162851462784,-4.19786136379661,-2.49502250326268e-07
"boot_params.2370",5.21771908092873,-0.780068555101492,-0.58633798811858,0.0510088105407224,-0.347285405240225,-0.573813325906871,-0.301348377231958,-0.0801046060597458,-0.00693205887319248,-0.0431159392367219,0.05239474336241,0.096764124069026,0.849523601269824,-2.08866611809933,-2.78698851135594,-3.36620942398583,-5.24860780125986,-2.61608529466168,-4.93413082468052,6.16098049159323,-4.27517777054521,2.42548100817596,-2.78461420329403,-4.54365686413314,-2.93556008489599e-07
"boot_params.2371",5.216962264375,-0.720578864091177,-0.666383011003316,0.0227995267411214,-0.387614188117625,-0.576236728087824,-0.334457176477385,-0.1227649811472,-0.0415701762997445,-0.084625813768406,0.0242076264551631,0.0870657011307869,0.838404646516131,-2.0831062829,-2.86242171714137,-3.24331154172008,-5.34604978946321,-2.63159351667496,-4.78988991280825,6.09439652157038,-4.34745381979667,2.38739255011799,-2.78035686740402,-4.43754581990109,-2.90275784083556e-07
"boot_params.2372",4.83577574714205,-0.68004241493384,-0.605541147435442,0.0365698808537391,-0.349224539743548,-0.523978342326996,-0.353725897400669,-0.107141515419446,-0.0364675859194034,-0.0390560062529574,0.0307992305650171,0.111097129564808,0.843283971685812,-1.807409048643,-2.5659319359244,-3.0488590184496,-5.00523646432219,-2.32397939358007,-5.3071094827933,5.44858694696579,-4.06420648722988,2.16893653058341,-2.53719615226544,-4.16380595034857,-2.49387101036066e-07
"boot_params.2373",4.88043658986242,-0.722328679499259,-0.600064937262145,0.0466541184498142,-0.314657691326481,-0.566589745023176,-0.329709214541671,-0.0962297312135825,-0.0252383575695817,-0.0466700332204425,0.0393941126362353,0.115873241512466,0.828256149090483,-1.84711203627145,-2.61181566848725,-3.03830612102766,-5.75107849224122,-2.40649952947152,-4.82342477827257,5.50336784965764,-4.37453860901511,2.1665386819076,-2.58617282769136,-4.37426977667602,-2.53317793942459e-07
"boot_params.2374",4.95498874260735,-0.700377163690038,-0.594560657711631,0.0734782918719465,-0.334750522628794,-0.546006433136168,-0.336882901966792,-0.0922237781126012,0.00724785200524346,-0.0596635919194539,0.0584874272734618,0.113481917745611,0.848555793404207,-1.91442555741901,-2.64191581719169,-3.15277598152131,-5.20275793460696,-2.43495062820405,-5.1171858061476,5.69535884018791,-4.20710281040403,2.2477529727872,-2.54148120656584,-4.10368121280266,-2.64472752585128e-07
