"","(Intercept)","seasonSpring","seasonSummer","seasonWinter","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.8012",3.62815041226205,-0.0635398376525055,-0.564944033123018,-0.263580288413005,0.853098526390416,-1.83682458211259,-2.62124189616274,-3.02265486525057,-5.0134005974345,-2.31973522257463,-5.13151674371229,5.58566473592983,-4.14326304315928,2.21681298270355,-2.52199442029225,-4.08637240557251,-1.82366257526431
"boot_params.8013",3.59738205610372,-0.0612138524079916,-0.587960808534887,-0.219998385116066,0.804081044527709,-1.80216059309109,-2.50611715410153,-2.99371023199389,-4.86989961440099,-2.27833181487339,-4.54223888870253,5.2434551205943,-4.12107316612577,2.06485984808474,-2.44911896360913,-4.18566603723523,-1.69351832726511
"boot_params.8014",3.67948671393448,-0.0619840962004127,-0.554224278397391,-0.246581592791202,0.842264700236655,-1.96216052823014,-2.60980366816624,-3.08626333453877,-5.31043415056142,-2.45103720177948,-4.9840488248175,5.66195397592526,-4.22534344090777,2.21642682602542,-2.55954444174047,-4.15075630781042,-1.87645943826486
"boot_params.8015",3.62337465544079,-0.0473785385428652,-0.541439491971884,-0.252317709892212,0.816853499833863,-1.8214505584163,-2.5340980271113,-3.01038979107221,-5.21908662375359,-2.41105128249636,-4.9292965278248,5.45164575693724,-3.97622333195417,2.14982860371869,-2.54360515349121,-4.17437882369244,-1.78138300442643
"boot_params.8016",3.59954764687626,-0.057853272441732,-0.545362684284002,-0.240793319885364,0.830336594633963,-1.80660615115652,-2.5280290284272,-2.92604376326899,-4.99744702859262,-2.40059869534563,-4.75899603419225,5.37203391846721,-3.93027597239687,2.1179804753072,-2.5052919640172,-3.9020531667308,-1.74223455125414
"boot_params.8017",3.65085538849391,-0.0396534398187435,-0.545580389731396,-0.213192710584086,0.835982657340414,-1.87568581783045,-2.66507909951152,-3.05358195543417,-5.17086596484567,-2.4556394652287,-4.88328689558064,5.60566314693754,-4.2149963609802,2.20662161174495,-2.55581606112172,-4.31708957868734,-1.85000996906622
"boot_params.8018",3.68818124683236,-0.0845753145301085,-0.549691989129432,-0.248529745732191,0.859996547881354,-1.98828252266118,-2.6586649913592,-3.18998233196209,-5.08519848842087,-2.47190261981995,-5.25429979091694,5.81979163399672,-4.18167637725606,2.27817411703679,-2.62458000907564,-4.14005010631159,-1.93343486492204
"boot_params.8019",3.68019823703895,-0.0694224141272499,-0.553267348221562,-0.226503258310352,0.776382210595794,-1.94388291700447,-2.6054142803413,-3.14602883315488,-5.62843492868815,-2.41631073586162,-5.19698300861745,5.51459332251907,-4.23038445936765,2.15921478850002,-2.5784437667509,-4.05367022150947,-1.82128408183102
"boot_params.8020",3.62638831985159,-0.0505405656414896,-0.560683086906371,-0.236458380445955,0.784931216540318,-1.78280761904688,-2.48901201946681,-3.00106032574183,-4.7439886797158,-2.32833247329148,-5.36128261601024,5.24926592212979,-4.10760622321031,2.05032916010797,-2.48718742976065,-4.03875307789668,-1.70535876279805
"boot_params.8021",3.70177481901353,-0.0692721600760849,-0.544271616686417,-0.245947811709799,0.832288026576695,-1.97392228571013,-2.72297760985838,-3.13803079203229,-5.55106315145049,-2.49269085661082,-4.92741797233662,5.77231755780532,-4.51612625555956,2.26055985799593,-2.69393986028634,-4.27535910253502,-1.92122607887249
