"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Sales","Adjustments","Release","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-06","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","196269","","","","0"
"2017-07","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","203365","","","","0"
"2017-08","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","199877","","","","0"
"2017-09","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","200176","","","","0"
"2017-10","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","208121","","","","0"
"2017-11","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","209302","","","","0"
"2017-12","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","212043","","","","0"
"2018-01","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","208109","","","","0"
"2018-02","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","209249","","","","0"
"2018-03","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","202365","","","","0"
"2018-04","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","201254","","","","0"
"2018-05","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","210235","","","","0"
"2018-06","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","209637","","","","0"
"2018-07","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","209566","","","","0"
"2018-08","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","210615","","","","0"
"2018-09","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","211392","","","","0"
"2018-10","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","208867","","","","0"
"2018-11","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","205706","","","","0"
"2018-12","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","208445","","","","0"
"2019-01","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","206503","","","","0"
"2019-02","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","209353","","","","0"
"2019-03","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","215656","","","","0"
"2019-04","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","215172","","","","0"
"2019-05","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","208062","","","","0"
"2019-06","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","213808","","","","0"
"2019-07","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","222219","","","","0"
"2019-08","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","226375","","","","0"
"2019-09","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","219114","","","","0"
"2019-10","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","216052","","","","0"
"2019-11","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","215800","","","","0"
"2019-12","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","221410","","","","0"
"2020-01","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","223064","","","","0"
"2020-02","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","222779","","","","0"
"2020-03","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","191076","","","","0"
"2020-04","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","162062","","","","0"
"2020-05","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","195043","","","","0"
"2020-06","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","224313","","","","0"
"2020-07","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","217289","","","","0"
"2020-08","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","223930","","","","0"
"2020-09","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","237478","","","","0"
"2020-10","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","235761","","","","0"
"2020-11","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","243932","","","","0"
"2020-12","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","233292","","","","0"
"2021-01","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","249378","","","","0"
"2021-02","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","265301","","","","0"
"2021-03","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","257417","","","","0"
"2021-04","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","268628","","","","0"
"2021-05","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","248608","","","","0"
"2021-06","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","249426","","","","0"
"2021-07","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","248305","","","","0"
