"","GEO","retail","year","month"
"463","Nunavut",41142,"2019","December"
"464","Ontario",21595758,"2019","December"
"465","Prince Edward Island",221410,"2019","December"
"466","Quebec",11548840,"2019","December"
"467","Saskatchewan",1735903,"2019","December"
"468","Yukon",75283,"2019","December"
"469","Alberta",7085925,"2020","January"
"470","British Columbia",7642483,"2020","January"
"471","Manitoba",1824178,"2020","January"
"472","New Brunswick",1172337,"2020","January"
"473","Newfoundland and Labrador",752756,"2020","January"
"474","Northwest Territories",68809,"2020","January"
"475","Nova Scotia",1456782,"2020","January"
"476","Nunavut",41221,"2020","January"
"477","Ontario",21049992,"2020","January"
"478","Prince Edward Island",223064,"2020","January"
"479","Quebec",11637065,"2020","January"
"480","Saskatchewan",1734530,"2020","January"
"481","Yukon",77684,"2020","January"
"482","Alberta",6977325,"2020","February"
"483","British Columbia",7736031,"2020","February"
"484","Manitoba",1809224,"2020","February"
"485","New Brunswick",1153319,"2020","February"
"486","Newfoundland and Labrador",789626,"2020","February"
"487","Northwest Territories",71584,"2020","February"
"488","Nova Scotia",1410091,"2020","February"
"489","Nunavut",40998,"2020","February"
"490","Ontario",21346929,"2020","February"
"491","Prince Edward Island",222779,"2020","February"
"492","Quebec",11541589,"2020","February"
"493","Saskatchewan",1705543,"2020","February"
"494","Yukon",78694,"2020","February"
"495","Alberta",6029524,"2020","March"
"496","British Columbia",7265885,"2020","March"
"497","Manitoba",1643632,"2020","March"
"498","New Brunswick",997285,"2020","March"
"499","Newfoundland and Labrador",733166,"2020","March"
"500","Northwest Territories",68894,"2020","March"
"501","Nova Scotia",1227529,"2020","March"
"502","Nunavut",42674,"2020","March"
"503","Ontario",19269774,"2020","March"
"504","Prince Edward Island",191076,"2020","March"
"505","Quebec",9690761,"2020","March"
"506","Saskatchewan",1510816,"2020","March"
"507","Yukon",76114,"2020","March"
"508","Alberta",5041813,"2020","April"
"509","British Columbia",6033912,"2020","April"
"510","Manitoba",1330536,"2020","April"
"511","New Brunswick",838365,"2020","April"
"512","Newfoundland and Labrador",571892,"2020","April"
"513","Northwest Territories",62612,"2020","April"
"514","Nova Scotia",980233,"2020","April"
"515","Nunavut",49899,"2020","April"
"516","Ontario",13872265,"2020","April"
"517","Prince Edward Island",162062,"2020","April"
"518","Quebec",7156634,"2020","April"
"519","Saskatchewan",1344171,"2020","April"
"520","Yukon",65797,"2020","April"
"521","Alberta",6201495,"2020","May"
"522","British Columbia",6922822,"2020","May"
"523","Manitoba",1696389,"2020","May"
"524","New Brunswick",1041301,"2020","May"
"525","Newfoundland and Labrador",719719,"2020","May"
"526","Northwest Territories",75116,"2020","May"
"527","Nova Scotia",1196015,"2020","May"
"528","Nunavut",51701,"2020","May"
"529","Ontario",16067187,"2020","May"
"530","Prince Edward Island",195043,"2020","May"
"531","Quebec",10075298,"2020","May"
"532","Saskatchewan",1563768,"2020","May"
"533","Yukon",73441,"2020","May"
"534","Alberta",7002528,"2020","June"
"535","British Columbia",7708518,"2020","June"
"536","Manitoba",1871158,"2020","June"
"537","New Brunswick",1179343,"2020","June"
"538","Newfoundland and Labrador",852095,"2020","June"
"539","Northwest Territories",74249,"2020","June"
"540","Nova Scotia",1419718,"2020","June"
"541","Nunavut",49381,"2020","June"
"542","Ontario",21331955,"2020","June"
"543","Prince Edward Island",224313,"2020","June"
"544","Quebec",12330326,"2020","June"
"545","Saskatchewan",1746464,"2020","June"
"546","Yukon",75198,"2020","June"
"547","Alberta",7122454,"2020","July"
"548","British Columbia",7947731,"2020","July"
"549","Manitoba",1927667,"2020","July"
"550","New Brunswick",1179288,"2020","July"
"551","Newfoundland and Labrador",836779,"2020","July"
"552","Northwest Territories",78153,"2020","July"
"553","Nova Scotia",1419695,"2020","July"
"554","Nunavut",48593,"2020","July"
"555","Ontario",21353115,"2020","July"
"556","Prince Edward Island",217289,"2020","July"
"557","Quebec",12330224,"2020","July"
"558","Saskatchewan",1788159,"2020","July"
"559","Yukon",77469,"2020","July"
"560","Alberta",6763261,"2020","August"
"561","British Columbia",8009786,"2020","August"
"562","Manitoba",1908406,"2020","August"
"563","New Brunswick",1191094,"2020","August"
"564","Newfoundland and Labrador",832782,"2020","August"
"565","Northwest Territories",79255,"2020","August"
"566","Nova Scotia",1482104,"2020","August"
"567","Nunavut",48885,"2020","August"
"568","Ontario",21239216,"2020","August"
"569","Prince Edward Island",223930,"2020","August"
"570","Quebec",12526478,"2020","August"
"571","Saskatchewan",1779502,"2020","August"
"572","Yukon",78255,"2020","August"
"573","Alberta",7446375,"2020","September"
"574","British Columbia",8273288,"2020","September"
"575","Manitoba",1951589,"2020","September"
"576","New Brunswick",1260507,"2020","September"
"577","Newfoundland and Labrador",826467,"2020","September"
"578","Northwest Territories",77544,"2020","September"
"579","Nova Scotia",1457206,"2020","September"
"580","Nunavut",48946,"2020","September"
"581","Ontario",21964993,"2020","September"
"582","Prince Edward Island",237478,"2020","September"
"583","Quebec",12521173,"2020","September"
