"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Sales","Adjustments","Release","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","980716","A","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","973441","A","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","933420","A","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","895532","A","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","978871","A","","","0"
"2023-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","940817","A","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","969557","B","","","0"
"2023-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","","..","","","0"
"2023-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","","..","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","","..","","","0"
"2023-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","","..","","","0"
"2022-01","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","270363","","","","0"
"2022-02","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","270626","","","","0"
"2022-03","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","268194","","","","0"
"2022-04","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","269014","","","","0"
"2022-05","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","281040","","","","0"
"2022-06","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","286693","","","","0"
"2022-07","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","288846","","","","0"
"2022-08","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","281978","","","","0"
"2022-09","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","278225","","","","0"
"2022-10","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","292067","","","","0"
"2022-11","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","291303","B","","","0"
"2022-12","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","288985","A","","","0"
"2023-01","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","297691","A","","","0"
"2023-02","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","302847","B","","","0"
"2023-03","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","287333","B","","","0"
"2023-04","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","284482","B","","","0"
"2023-05","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","296538","A","","","0"
"2023-06","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","293282","A","","","0"
"2023-07","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","297611","A","","","0"
"2023-08","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","303280","A","","","0"
"2023-09","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","303795","A","","","0"
"2023-10","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556205","3.1.1.2.11","301260","B","","","0"
