"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-05","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","190819","","","","0"
"2023-06","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","188145","","","","0"
"2023-07","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","470402","","","","0"
"2023-08","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","411710","","","","0"
"2023-09","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","327837","","","","0"
"2023-10","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","267734","","","","0"
"2023-11","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","311386","","","","0"
"2022-01","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","153320","","","","0"
"2022-02","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","114166","","","","0"
"2022-03","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","148956","","","","0"
"2022-04","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","267687","","","","0"
"2022-05","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","194880","","","","0"
"2022-06","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","241197","","","","0"
"2022-07","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","224004","","","","0"
"2022-08","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","256796","","","","0"
"2022-09","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","164757","","","","0"
"2022-10","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","156534","","","","0"
"2022-11","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","111969","","","","0"
"2022-12","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","114398","","","","0"
