"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-12","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","384335","","","","0"
"2023-01","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","493593","","","","0"
"2023-02","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","392156","","","","0"
"2023-03","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","396277","","","","0"
"2023-04","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","410349","","","","0"
"2023-05","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","348130","","","","0"
"2023-06","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","223453","","","","0"
"2023-07","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","305056","","","","0"
"2023-08","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","295178","","","","0"
"2023-09","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","313107","","","","0"
"2023-10","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","376339","","","","0"
"2023-11","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","416129","","","","0"
"2022-01","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","262092","","","","0"
"2022-02","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","187411","","","","0"
"2022-03","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","220923","","","","0"
"2022-04","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","158286","","","","0"
"2022-05","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","185869","","","","0"
"2022-06","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","210181","","","","0"
"2022-07","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","205283","","","","0"
"2022-08","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","227478","","","","0"
"2022-09","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","175033","","","","0"
"2022-10","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","209752","","","","0"
"2022-11","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","210021","","","","0"
"2022-12","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","222350","","","","0"
"2023-01","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","266305","","","","0"
"2023-02","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","191689","","","","0"
"2023-03","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","225922","","","","0"
"2023-04","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","188870","","","","0"
"2023-05","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","234164","","","","0"
"2023-06","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","231352","","","","0"
"2023-07","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","217173","","","","0"
"2023-08","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","232392","","","","0"
"2023-09","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","169680","","","","0"
"2023-10","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","165252","","","","0"
"2023-11","Ontario","2016A000235","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228201","7.9.17.1","199038","","","","0"
"2022-01","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","27065","","","","0"
"2022-02","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","22681","","","","0"
"2022-03","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","25073","","","","0"
